eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,20_ml,20_spr,20_spr_odds,20_ou,20_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,54_ml,54_spr,54_spr_odds,54_ou,54_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds
4143515,1544,273,2020,8,Mon 11/2,8:15 PM,Tampa Bay,25,FINAL,55.0,1210.0,60.0,9910.0,56.0,4700.0,-450.0,-8.5,-110.0,47.5,-110.0,-670.0,-13.0,-106.0,46.5,-114.0,-750.0,-13.0,-115.0,47.0,-105.0,-680.0,-13.0,-102.0,47.0,-104.0,-680.0,-13.0,-109.0,47.0,-104.0,-598.0,-13.0,105.0,47.0,103.0,-619.0,-13.0,-110.0,47.0,-104.0,-670.0,-13.0,-110.0,47.0,-105.0,-750.0,-12.5,-110.0,47.0,-105.0,-705.0,-12.5,-108.0,46.5,-108.0,-646.0,-13.0,-108.0,46.5,-109.0,-650.0,-13.0,-105.0,45.0,-110.0,-621.0,-13.0,-110.0,47.0,-101.0
4143515,1535,274,2020,8,,,N.Y. Giants,23,,45.0,1000.0,40.0,6680.0,44.0,3720.0,360.0,8.5,-110.0,47.5,-110.0,520.0,13.0,-114.0,46.5,-106.0,475.0,13.0,-105.0,47.0,-115.0,495.0,13.0,-118.0,47.0,-116.0,495.0,13.0,-111.0,47.0,-116.0,470.0,13.0,-115.0,47.0,-115.0,444.0,13.0,-110.0,47.0,-116.0,480.0,13.0,-110.0,47.0,-115.0,525.0,12.5,-110.0,47.0,-115.0,530.0,12.5,-108.0,46.5,-108.0,496.0,13.0,-112.0,46.5,-111.0,475.0,13.0,-115.0,45.0,-110.0,446.0,13.0,-110.0,47.0,-119.0
4143383,1519,281,2020,8,Sun 11/1,1:00 PM,Pittsburgh,28,FINAL,66.0,960.0,50.0,4700.0,58.0,1630.0,200.0,5.5,-110.0,49.0,-110.0,175.0,3.5,-110.0,44.0,-113.0,165.0,4.0,-110.0,44.5,-110.0,170.0,4.0,-118.0,44.0,-116.0,170.0,4.0,-118.0,44.0,-116.0,178.0,4.0,-109.0,44.0,-103.0,170.0,4.0,-115.0,44.0,-110.0,175.0,4.0,-110.0,44.0,-115.0,180.0,4.0,-110.0,44.0,-115.0,170.0,4.0,-108.0,44.0,-108.0,171.0,4.0,-111.0,44.0,-114.0,175.0,4.0,-115.0,46.0,-110.0,170.0,4.0,-115.0,44.0,-110.0
4143383,1521,282,2020,8,,,Baltimore,24,,34.0,500.0,50.0,4670.0,42.0,1200.0,-240.0,-5.5,-110.0,49.0,-110.0,-205.0,-3.5,-110.0,44.0,-107.0,-190.0,-4.0,-110.0,44.5,-110.0,-200.0,-4.0,-102.0,44.0,-104.0,-200.0,-4.0,-102.0,44.0,-104.0,-200.0,-4.0,-102.0,44.0,-108.0,-205.0,-4.0,-105.0,44.0,-110.0,-205.0,-4.0,-110.0,44.0,-105.0,-210.0,-4.0,-110.0,44.0,-105.0,-195.0,-4.0,-108.0,44.0,-108.0,-201.0,-4.0,-109.0,44.0,-106.0,-210.0,-4.0,-105.0,46.0,-110.0,-205.0,-4.0,-105.0,44.0,-110.0
4143387,1523,261,2020,8,Sun 11/1,1:00 PM,N.Y. Jets,9,FINAL,48.0,410.0,46.0,2420.0,56.0,730.0,1150.0,22.0,-110.0,48.0,-110.0,1500.0,19.5,-105.0,49.0,-107.0,1125.0,20.0,-110.0,49.0,-105.0,1254.0,19.5,-105.0,49.0,-105.0,1254.0,19.5,-105.0,49.0,-105.0,1204.0,20.0,-102.0,49.0,-106.0,,20.0,-110.0,49.0,-110.0,1000.0,19.5,-110.0,49.0,-110.0,1400.0,19.5,-110.0,49.0,-110.0,1330.0,20.0,-108.0,49.0,-108.0,1266.0,19.5,-107.0,49.0,-108.0,1250.0,20.5,-110.0,49.0,-110.0,,20.0,-110.0,49.0,-110.0
4143387,1531,262,2020,8,,,Kansas City,35,,52.0,450.0,54.0,2790.0,44.0,580.0,-2500.0,-22.0,-110.0,48.0,-110.0,-5000.0,-19.5,-115.0,49.0,-113.0,-3000.0,-20.0,-110.0,49.0,-115.0,-2854.0,-19.5,-115.0,49.0,-115.0,-2854.0,-19.5,-115.0,49.0,-115.0,-1965.0,-20.0,-108.0,49.0,-105.0,,-20.0,-110.0,49.0,-110.0,-2500.0,-19.5,-110.0,49.0,-110.0,-3500.0,-19.5,-110.0,49.0,-110.0,-2080.0,-20.0,-108.0,49.0,-108.0,-2016.0,-19.5,-113.0,49.0,-112.0,-3000.0,-20.5,-110.0,49.0,-110.0,,-20.0,-110.0,49.0,-110.0
4143509,1528,257,2020,8,Sun 11/1,1:00 PM,Tennessee,20,FINAL,54.0,380.0,57.0,3680.0,57.0,1270.0,-220.0,-3.5,-110.0,55.5,-110.0,-335.0,-7.0,-115.0,49.0,-110.0,-360.0,-7.0,-120.0,49.5,-105.0,-351.0,-7.0,-120.0,49.0,-110.0,-351.0,-7.0,-120.0,49.0,-110.0,-321.0,-7.5,107.0,49.5,103.0,-327.0,-7.5,102.0,49.5,-102.0,-320.0,-7.0,-115.0,49.0,-110.0,-340.0,-7.0,-115.0,49.0,-110.0,-345.0,-7.0,-108.0,49.0,-108.0,-329.0,-7.0,-114.0,49.5,-107.0,-345.0,-7.5,-110.0,50.5,-110.0,-327.0,-7.5,102.0,49.5,-102.0
4143509,1522,258,2020,8,,,Cincinnati,31,,46.0,330.0,43.0,2820.0,43.0,940.0,190.0,3.5,-110.0,55.5,-110.0,280.0,7.0,-105.0,49.0,-110.0,280.0,7.0,100.0,49.5,-115.0,282.0,7.0,100.0,49.0,-110.0,282.0,7.0,100.0,49.0,-110.0,274.0,7.5,-118.0,49.5,-115.0,267.0,7.5,-122.0,49.5,-118.0,260.0,7.0,-105.0,49.0,-110.0,280.0,7.0,-105.0,49.0,-110.0,275.0,7.0,-108.0,49.0,-108.0,269.0,7.0,-106.0,49.5,-113.0,275.0,7.5,-110.0,50.5,-110.0,267.0,7.5,-122.0,49.5,-118.0
4143510,1550,263,2020,8,Sun 11/1,1:00 PM,L.A. Rams,17,FINAL,47.0,470.0,51.0,3710.0,53.0,930.0,-220.0,-3.5,-110.0,47.0,-110.0,-170.0,-3.5,-103.0,47.0,-105.0,-180.0,-3.5,-105.0,46.5,-115.0,-175.0,-1.5,-113.0,42.0,-119.0,-175.0,-1.5,-113.0,42.0,-119.0,-176.0,-3.5,101.0,46.5,-111.0,-177.0,-3.5,-104.0,46.5,-115.0,-175.0,-3.5,100.0,46.5,-110.0,-175.0,-3.5,-105.0,46.5,-110.0,-180.0,-3.5,-108.0,47.0,-108.0,-175.0,-3.5,-106.0,46.5,-111.0,-185.0,-3.5,-115.0,45.5,-110.0,-177.0,-3.5,-104.0,46.5,-115.0
4143510,1524,264,2020,8,,,Miami,28,,53.0,540.0,49.0,3600.0,47.0,810.0,190.0,3.5,-110.0,47.0,-110.0,150.0,3.5,-117.0,47.0,-115.0,160.0,3.5,-115.0,46.5,-105.0,151.0,1.5,-107.0,42.0,-102.0,151.0,1.5,-107.0,42.0,-102.0,157.0,3.5,-111.0,46.5,-100.0,157.0,3.5,-116.0,46.5,-105.0,155.0,3.5,-120.0,46.5,-110.0,155.0,3.5,-115.0,46.5,-110.0,155.0,3.5,-108.0,47.0,-108.0,155.0,3.5,-114.0,46.5,-109.0,160.0,3.5,-105.0,45.5,-110.0,157.0,3.5,-116.0,46.5,-105.0
